"meta_id","post_id","meta_key","meta_value"
"1590","442","_wp_attachment_metadata","a:6:{s:5:""width"";i:1200;s:6:""height"";i:1203;s:4:""file"";s:22:""2025/10/1000008889.jpg"";s:8:""filesize"";i:111112;s:5:""sizes"";a:4:{s:6:""medium"";a:5:{s:4:""file"";s:22:""1000008889-300x300.jpg"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:21135;}s:5:""large"";a:5:{s:4:""file"";s:24:""1000008889-1021x1024.jpg"";s:5:""width"";i:1021;s:6:""height"";i:1024;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:143530;}s:9:""thumbnail"";a:5:{s:4:""file"";s:22:""1000008889-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:6762;}s:12:""medium_large"";a:5:{s:4:""file"";s:22:""1000008889-768x770.jpg"";s:5:""width"";i:768;s:6:""height"";i:770;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:94308;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
"1676","462","_edit_lock","1761337472:76"
"1677","464","_menu_item_type","post_type"
"1678","464","_menu_item_menu_item_parent","0"
"1679","464","_menu_item_object_id","462"
"1680","464","_menu_item_object","page"
"1681","464","_menu_item_target",
"1682","464","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"1683","464","_menu_item_xfn",
"1684","464","_menu_item_url",
"1685","464","_menu_item_orphaned","1761330371"
"1686","465","_menu_item_type","post_type"
"1687","465","_menu_item_menu_item_parent","0"
"1688","465","_menu_item_object_id","462"
"1689","465","_menu_item_object","page"
"1690","465","_menu_item_target",
"1691","465","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"1692","465","_menu_item_xfn",
"1693","465","_menu_item_url",
"1695","350","_wp_old_date","2025-10-21"
"1696","86","_wp_old_date","2025-10-21"
"1697","87","_wp_old_date","2025-10-21"
"1698","97","_wp_old_date","2025-10-21"
"1699","109","_wp_old_date","2025-10-21"
"1700","304","_wp_old_date","2025-10-21"
"1701","95","_wp_old_date","2025-10-21"
"1702","396","_wp_old_date","2025-10-21"
"1703","465","_jp_nav_item_options","a:3:{s:11:""avatar_size"";s:2:""24"";s:13:""redirect_type"";s:7:""current"";s:7:""can_see"";s:3:""yes"";}"
"1704","466","_menu_item_type","post_type"
"1705","466","_menu_item_menu_item_parent","0"
"1706","466","_menu_item_object_id","462"
"1707","466","_menu_item_object","page"
"1708","466","_menu_item_target",
"1709","466","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"1710","466","_menu_item_xfn",
"1711","466","_menu_item_url",
"1713","397","_wp_old_date","2025-10-21"
"1714","398","_wp_old_date","2025-10-21"
"1715","399","_wp_old_date","2025-10-21"
"1716","400","_wp_old_date","2025-10-21"
"1717","401","_wp_old_date","2025-10-21"
"1718","402","_wp_old_date","2025-10-21"
"1719","403","_wp_old_date","2025-10-21"
"1720","404","_wp_old_date","2025-10-21"
"1721","466","_jp_nav_item_options","a:3:{s:11:""avatar_size"";s:2:""24"";s:13:""redirect_type"";s:7:""current"";s:7:""can_see"";s:3:""yes"";}"
"1739","470","footnotes",
"1776","481","footnotes",
"1784","487","_wp_attached_file","2025/10/IMG_5544.png"
"1785","487","_wp_attachment_metadata","a:6:{s:5:""width"";i:1536;s:6:""height"";i:1024;s:4:""file"";s:20:""2025/10/IMG_5544.png"";s:8:""filesize"";i:2244043;s:5:""sizes"";a:4:{s:6:""medium"";a:5:{s:4:""file"";s:20:""IMG_5544-300x200.png"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:19674;}s:5:""large"";a:5:{s:4:""file"";s:21:""IMG_5544-1024x683.png"";s:5:""width"";i:1024;s:6:""height"";i:683;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:345918;}s:9:""thumbnail"";a:5:{s:4:""file"";s:20:""IMG_5544-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:9902;}s:12:""medium_large"";a:5:{s:4:""file"";s:20:""IMG_5544-768x512.png"";s:5:""width"";i:768;s:6:""height"";i:512;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:152249;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
"1786","488","_wp_attached_file","2025/10/1000078399-scaled.jpg"
"1787","488","_wp_attachment_metadata","a:7:{s:5:""width"";i:1707;s:6:""height"";i:2560;s:4:""file"";s:29:""2025/10/1000078399-scaled.jpg"";s:8:""filesize"";i:432742;s:5:""sizes"";a:6:{s:6:""medium"";a:5:{s:4:""file"";s:22:""1000078399-200x300.jpg"";s:5:""width"";i:200;s:6:""height"";i:300;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:11238;}s:5:""large"";a:5:{s:4:""file"";s:23:""1000078399-683x1024.jpg"";s:5:""width"";i:683;s:6:""height"";i:1024;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:77725;}s:9:""thumbnail"";a:5:{s:4:""file"";s:22:""1000078399-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:5715;}s:12:""medium_large"";a:5:{s:4:""file"";s:23:""1000078399-768x1152.jpg"";s:5:""width"";i:768;s:6:""height"";i:1152;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:95022;}s:9:""1536x1536"";a:5:{s:4:""file"";s:24:""1000078399-1024x1536.jpg"";s:5:""width"";i:1024;s:6:""height"";i:1536;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:160475;}s:9:""2048x2048"";a:5:{s:4:""file"";s:24:""1000078399-1365x2048.jpg"";s:5:""width"";i:1365;s:6:""height"";i:2048;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:279258;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:3:""6.3"";s:6:""credit"";s:0:"""";s:6:""camera"";s:14:""Canon EOS R6m2"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:10:""1700929079"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:2:""97"";s:3:""iso"";s:3:""125"";s:13:""shutter_speed"";s:5:""0.008"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}s:14:""original_image"";s:14:""1000078399.jpg"";}"
"1788","489","_wp_attached_file","2025/10/IMG_2783.jpeg"
"1789","489","_wp_attachment_metadata","a:6:{s:5:""width"";i:1200;s:6:""height"";i:1600;s:4:""file"";s:21:""2025/10/IMG_2783.jpeg"";s:8:""filesize"";i:313116;s:5:""sizes"";a:5:{s:6:""medium"";a:5:{s:4:""file"";s:21:""IMG_2783-225x300.jpeg"";s:5:""width"";i:225;s:6:""height"";i:300;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:25024;}s:5:""large"";a:5:{s:4:""file"";s:22:""IMG_2783-768x1024.jpeg"";s:5:""width"";i:768;s:6:""height"";i:1024;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:109006;}s:9:""thumbnail"";a:5:{s:4:""file"";s:21:""IMG_2783-150x150.jpeg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:16749;}s:12:""medium_large"";a:5:{s:4:""file"";s:22:""IMG_2783-768x1024.jpeg"";s:5:""width"";i:768;s:6:""height"";i:1024;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:109006;}s:9:""1536x1536"";a:5:{s:4:""file"";s:23:""IMG_2783-1152x1536.jpeg"";s:5:""width"";i:1152;s:6:""height"";i:1536;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:203919;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""1"";s:8:""keywords"";a:0:{}}}"
"1790","490","_wp_attached_file","2025/10/IMG_1153-scaled.jpeg"
